UBPR3230,UBPRE278,UBPRE279,UBPRE291,UBPR4340,UBPR7402,UBPR7414,UBPRE001,UBPRE002,UBPRE006,UBPRE008,UBPRE014,UBPRE015,UBPRE016,UBPRE017,UBPRE544,UBPRE549,UBPRE600,UBPRK447,UBPRD486,OTSREGNM_Central,OTSREGNM_Northeast,OTSREGNM_Southeast,OTSREGNM_West,OTSREGNM_Western,REGAGNT_FDIC,REGAGNT_FED,REGAGNT_OCC,SPECGRPN_Agricultural.Specialization,SPECGRPN_All.Other.Over.1.Billion,SPECGRPN_All.Other.Under.1.Billion,SPECGRPN_Commercial.Lending.Specialization,SPECGRPN_Consumer.Lending.Specialization,SPECGRPN_Credit.card.Specialization,SPECGRPN_International.Specialization,SPECGRPN_Mortgage.Lending.Specialization,SPECGRPN_Other.Specialized.Under.1.Billion
59000,69154000,51698000,28482000,1145000,85.15,0.49,3,0.19,0.04,0,92.48,77.73,3.25,0.21,0.71,0.5,71.93,-0.86,9.0073,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
20,38878,38878,38878,20874,33.32,0.06,4.12,0.12,0.09,0,97.07,65.69,4.24,0.12,1.23,0.12,67.07,-17.7,9.187,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
200,0,0,0,3070,75.86,0.19,3.17,0.9,0,0,97.95,78.29,3.24,0.92,0.79,0.19,75.92,12.86,10.2607,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
50,0,0,0,1324,36.63,0.56,3.52,0.24,0.06,0,96.69,64.56,3.64,0.25,0.87,0.56,77.09,-13.88,9.568,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
540,0,0,0,2864,12.36,0.27,2.81,0.2,0,0,95.96,68.68,2.93,0.2,0.38,0.27,43.19,-34.55,7.4535,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3692,0,0,0,25711,58.32,0.3,3.51,0.19,-0.04,0.01,92.22,64.6,3.81,0.21,0.13,0.66,79.87,12.93,10.01,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3710,12652,12652,12652,9302,39.88,0.4,3.71,0.4,0.51,-0.01,94.51,66.76,3.92,0.42,0.23,0.4,68.72,8.34,8.6728,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,6707,0,0.31,2.21,0.32,0.08,0,86.44,67.94,2.56,0.37,0.26,0.37,103.67,21.66,9.3169,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
540,0,0,0,5050,5.35,0,3.21,0.25,0.21,0,95,60.73,3.38,0.27,0,0.01,68.49,-13.14,9.8366,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
6534,0,0,0,4512,61.48,0.42,3.13,0.12,-0.09,-0.13,98.7,53.35,3.17,0.12,0,0.42,30.9,7.13,10.6165,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,0,0,0,861,26.13,2.17,3.11,0.17,0,0,95.88,66.56,3.24,0.18,0.49,2.17,37.81,-10.2,8.7977,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
200,0,0,0,-3695,0,0.22,3.37,0.41,0.24,0,93.9,44.69,3.59,0.44,3.17,0.22,86.36,-57.07,39.7835,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
300,0,0,0,721,49.93,0.12,3.43,0.09,0,0,96.61,57.94,3.55,0.1,0.01,0.12,57.22,-3.89,9.8737,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
286,0,0,0,5869,19.51,0.74,3.75,0.09,0.03,0,93.2,64.23,4.03,0.1,0.7,0.74,70.88,-3.07,12.3158,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
90001,35598382,33374122,35598382,622535,0,0.33,2.82,0.36,0.09,0,96.16,84.49,2.93,0.38,0.87,0.33,86.15,13.64,8.2021,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1230,0,0,0,1859,0,0.54,3.61,0.36,0.31,0,100.2,67.93,3.6,0.36,0.13,0.56,70.28,17.13,9.4408,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
